Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 20.00      0.02     0.02                             _init
 10.00      0.03     0.01  1130786     0.01     0.01  std::less<int>::operator()(int const&, int const&) const
 10.00      0.04     0.01   904541     0.01     0.01  __gnu_cxx::__aligned_membuf<std::pair<int const, Block> >::_M_ptr() const
 10.00      0.05     0.01   794090     0.01     0.01  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
 10.00      0.06     0.01   226395     0.04     0.12  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, Block> >*, std::_Rb_tree_node_base*, int const&)
 10.00      0.07     0.01     2740     3.65     3.65  unsigned long ComponentTypeID::GetID<InputComponent>()
 10.00      0.08     0.01                             Yuna::Core::State::Run()
  5.00      0.09     0.01   452600     0.01     0.01  std::_Rb_tree_node<std::pair<int const, Block> >::_M_valptr()
  5.00      0.09     0.01   226272     0.02     0.02  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::key_comp() const
  5.00      0.10     0.01     1788     2.80     2.80  RenderSystem::Render(Yuna::Core::Window*)
  5.00      0.10     0.01      913     5.48     5.48  RenderSystem::Update(float)
  0.00      0.10     0.00  1183874     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.10     0.00   904541     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Block> >::_M_addr() const
  0.00      0.10     0.00   904541     0.00     0.00  std::_Select1st<std::pair<int const, Block> >::operator()(std::pair<int const, Block> const&) const
  0.00      0.10     0.00   904541     0.00     0.01  std::_Rb_tree_node<std::pair<int const, Block> >::_M_valptr() const
  0.00      0.10     0.00   904541     0.00     0.01  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::_S_key(std::_Rb_tree_node<std::pair<int const, Block> > const*)
  0.00      0.10     0.00   591828     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.10     0.00   543440     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Block>, std::_Select1st<std::pair<int const, Block> >, std::less<int>, std::allocator<std::pair<int const, Block> > >::_S_right(std::_Rb_tree_node_base*)
